Patent #	Patent Title	Lab	Issue Date	
6274598	Methods for treating antibiotic-resistant infections	Army Medical Research and Materiel Command	8/14/2001	
6274892	Devices formable by low temperature direct bonding	Naval Research Laboratory	8/14/2001	
6274051	Method for neutralizing organophosphorus agricultural chemicals	NAVSEA Dahlgren	8/14/2001	
6269629	Micro-pulsed plasma thruster having coaxial cable segment propellant modules	Air Force TechMatch Patent Lab	8/7/2001	
H1979	Electronic streak camera	Air Force TechMatch Patent Lab	8/7/2001	
6269579	Gun cleaning system	Army TechMatch Patent Lab	8/7/2001	
H1983	Thermal battery and method of making the same having solid complex of SO2 and lithium tetrachloroaluminate as electrolyte	Army Research Laboratory - Aberdeen	8/7/2001	
6267039	Aircraft missile-hit survivability using infrared lamp and sacrificial support structure	Air Vehicles Directorate	7/31/2001	
6269114	Monitor particularly suited for Naval Tactical Data System (NTDS) interfaces types A and B	NAVSEA Dahlgren	7/31/2001	
6267012	Tensile specimen test grip	NAVSEA Carderock	7/31/2001	
6267440	Anti blast seat assembly with knee protection mechanism	Army TechMatch Patent Lab	7/31/2001	
6268383	Substituted aromatic compounds for treatment of antibiotic-resistant infections	Army Medical Research and Materiel Command	7/31/2001	
6266704	Onion routing network for securely moving data through communication networks	Naval Research Laboratory	7/24/2001	
6266428	System and method for remote detection of hazardous vapors and aerosols	RDEC Edgewood Chemical Biological Center	7/24/2001	
6264543	Meat tenderization and sterilization using axial planer shockwaves	NAVSEA Panama City	7/24/2001	
6264807	Ceramic oxygen generation system	Human Effectiveness Directorate	7/24/2001	
6265515	Fluorinated silicone resin fouling release composition	Naval Research Laboratory	7/24/2001	
6263665	"Microthruster for heating a propellant, driving the vapors produced to a discharge section"	Air Force TechMatch Patent Lab	7/24/2001	
6264735	Low-lead leaching foamed concrete bullet barrier	ERDC Geotechnical and Structures Laboratory	7/24/2001	
6266547	Nasopharyngeal airway with reflectance pulse oximeter sensor	Army Medical Research and Materiel Command	7/24/2001	
6266027	Asymmetric antenna incorporating loads so as to extend bandwidth without increasing antenna size	NAVAIR China Lake	7/24/2001	
6265880	Apparatus and method for detecting conduit chafing	Information Directorate	7/24/2001	
6265336	High temperature ceramics derived from linear carborane-(siloxane or silane)-acetylene copolymers	Naval Research Laboratory	7/24/2001	
6266357	Microcavity surface emitting laser	Sensors Directorate	7/24/2001	
6263864	Alternate fuel system for internal combustion engines	Air Force TechMatch Patent Lab	7/24/2001	
6263098	Determination of functionality for integrated circuit modules	Army TechMatch Patent Lab	7/17/2001	
6262574	Sensor for measuring magnetic field strength and temperature for an electric motor	NAVSEA Newport	7/17/2001	
6260408	Techniques for sensing the properties of fluids with a resonator assembly	Army CERDEC - Fort Monmouth	7/17/2001	
6261567	Overcoming interference in alphavirus immune individuals	Army Medical Research and Materiel Command	7/17/2001	
6263297	Programmed computation of predicted loading of ship hull	NAVSEA Carderock	7/17/2001	
6260802	Pneumatic airborne ejection system for aerospace vehicles	Space Vehicles Directorate	7/17/2001	
6260500	Emergency ship towing system	NAVSEA Carderock	7/17/2001	
6261831	Ultra-wide band RF-enhanced chemotherapy for cancer treatmeat	Air Force TechMatch Patent Lab	7/17/2001	
6263223	Method for monitoring arterial oxygen saturation	Army Medical Research and Materiel Command	7/17/2001	
6261570	"Live attenuated virus vaccines for western equine encephalitis virus, eastern equine encephalitis virus, and venezuelan equine encephalitis virus IE and IIIA variants"	Army Medical Research and Materiel Command	7/17/2001	
6261771	Method and apparatus for detection of multiple nucleic acid sequences and multiple antigens	Army TechMatch Patent Lab	7/17/2001	
6259090	Supported thin foil stripper and simple non-obstructing power meter for a space based neutral particle beam system	"Army Aviation & Missile Research, Development & Engineering Center"	7/10/2001	
6259096	Guanine Cytosine (GC)-rich DNA/PNA microbolometer	Army Research Laboratory - Aberdeen	7/10/2001	
6257262	Building shape modification camouflage structures	Night Vision & Electronic Sensors Directorate	7/10/2001	
6259803	Simplified image correlation method using off-the-shelf signal processors to extract edge information using only spatial data	NAVAIR China Lake	7/10/2001	
6258788	DNA vaccines against tick-borne flaviviruses	Army Medical Research and Materiel Command	7/10/2001	
6259103	Light beam detector	Air Force TechMatch Patent Lab	7/10/2001	
6259092	Thickness determination of carbonaceous overlayers on substrates of differing material	NAVSEA Carderock	7/10/2001	
6259088	Image intensifier tube with curved components	Night Vision & Electronic Sensors Directorate	7/10/2001	
6259347	Electrical power cooling technique	Naval Research Laboratory	7/10/2001	
6257340	Fire extinguishing system using shock tube	Army TechMatch Patent Lab	7/10/2001	
6258188	Solid fuel gas generator for ducted rocket engine	"Army Aviation & Missile Research, Development & Engineering Center"	7/10/2001	
6256264	Localization of a submerged tow vehicle (lost)	Naval Research Laboratory	7/3/2001	
6255992	Self-calibrating large baseline interferometer for very precise emitter location using time difference of arrival and time difference of arrival rate	Sensors Directorate	7/3/2001	
6254047	Equipment roller/slide support	Army TechMatch Patent Lab	7/3/2001	
6255761	Shaped piezoelectric composite transducer	NAVSEA Newport	7/3/2001	
6253615	Method and apparatus for in situ measurements of corrosion of submerged surfaces	Naval Research Laboratory	7/3/2001	
6256524	Pulse oximeter sensor combined with a combination oropharyngeal airway and bite block	Army Medical Research and Materiel Command	7/3/2001	
6256586	System for predicting wind-driven setup or setdown in continental shelf region	Naval Research Laboratory	7/3/2001	
6256559	Passive altimeter employing GPS signals	Sensors Directorate	7/3/2001	
6256585	Method for measuring depths of a waterway and for determining vertical positions of a waterborne vessel	Army TechMatch Patent Lab	7/3/2001	
6254194	Thermal signature reduction cover for hub and wheel	Army TechMatch Patent Lab	7/3/2001	
6254240	Eyecup assembly for a submarine periscope	NAVSEA Newport	7/3/2001	
6254873	Inactivated dengue virus vaccine	Army Medical Research and Materiel Command	7/3/2001	
6251815	Thermal gradient resistant ceramic composite	Materials & Manufacturing Directorate	6/26/2001	
6250588	Forced air de-icing and washing system attached to the distal end of a boom	Air Vehicles Directorate	6/26/2001	
6252540	Apparatus and method for two stage hybrid space-time adaptive processing in radar and communication systems	Information Directorate	6/26/2001	
6252262	"Metal passivating layer for III-V semiconductors, and improved gate contact for III-V-based metal-insulator-semiconductor (MIS) devices"	Naval Research Laboratory	6/26/2001	
6250198	Shock absorbing mount for adjustable barrel	NAVSEA Dahlgren	6/26/2001	
6253098	Disposable pulse oximeter assembly and protective cover therefor	Army Medical Research and Materiel Command	6/26/2001	
6252565	Elliptical cavity optical retinal display	Night Vision & Electronic Sensors Directorate	6/26/2001	
6253014	Embedded fiber optic sensor	Naval Research Laboratory	6/26/2001	
6249623	Temperature stabilized broadband optical source and method of using same	Naval Research Laboratory	6/19/2001	
6247410	High-output insensitive munition detonating cord	NAVSEA Panama City	6/19/2001	
6248487	Extensions and improvements of method of producing an optical wave with a predetermined function	Air Force TechMatch Patent Lab	6/19/2001	
6249241	Marine vessel traffic system	NAVAIR Patuxent River	6/19/2001	
6249421	Electrostatic actuation control system	Army Research Laboratory - Aberdeen	6/19/2001	
6248580	Process for the biodegradation of dinitrotoluene	Materials & Manufacturing Directorate	6/19/2001	
6247354	Techniques for sensing the properties of fluids with resonators	Army CERDEC - Fort Monmouth	6/19/2001	
6247408	System for sympathetic detonation of explosives	Army Research Laboratory - Aberdeen	6/19/2001	
6248275	Process for synthesizing composite material components with curved surfaces	NAVSEA Carderock	6/19/2001	
6244536	Air to air homing missile guidance	AFRL - Munitions Directorate	6/12/2001	
6246517	Lenses for the 1.50 to 2.55 micron band	Night Vision & Electronic Sensors Directorate	6/12/2001	
6245296	Flow immunosensor apparatus	Naval Research Laboratory	6/12/2001	
6245892	"Invaplex from gram negative bacteria, method of purification and methods of use"	Army Medical Research and Materiel Command	6/12/2001	
6245274	Method for making advanced grid-stiffened structures	Air Force TechMatch Patent Lab	6/12/2001	
6246307	Magnetic switch	Night Vision & Electronic Sensors Directorate	6/12/2001	
6245009	Operational readiness and life support systems	Human Effectiveness Directorate	6/12/2001	
6247145	Automated reliability and maintainability process	Air Force TechMatch Patent Lab	6/12/2001	
6244535	Man-packable missile weapon system	NAVAIR China Lake	6/12/2001	
6246379	Helix antenna	NAVSEA Newport	6/12/2001	
6245707	Methanol tolerant catalyst material	Army Research Laboratory - Aberdeen	6/12/2001	
6245957	Universal decontaminating solution for chemical warfare agents	RDEC Edgewood Chemical Biological Center	6/12/2001	
6246496	Photorefractive device for controlling information flow	Air Force TechMatch Patent Lab	6/12/2001	
6246071	Zirconia-containing transparent and conducting oxides	Naval Research Laboratory	6/12/2001	
6241190	Towplate positive lock device	Air Force TechMatch Patent Lab	6/5/2001	
6241686	System and method for predicting human cognitive performance using data from an actigraph	Army Medical Research and Materiel Command	6/5/2001	
6242324	Method for fabricating singe crystal materials over CMOS devices	Naval Research Laboratory	6/5/2001	
6240742	Modular portable air-conditioning system	NAVAIR Patuxent River	6/5/2001	
6241164	Effervescent liquid fine mist apparatus and method	NAVAIR Patuxent River	6/5/2001	
6242918	Apparatus and method for reducing the recovery period of a probe in pulsed nuclear quadrupole resonance and nuclear magnetic resonance detection systems by varying the impedance of a load to reduce total Q factor	Naval Research Laboratory	6/5/2001	
RE37207	Decontamination solution and method	NAVSEA Dahlgren	6/5/2001	
6240727	Manufacture of Nitinol rings for thermally responsive control of casing latch	NAVSEA Carderock	6/5/2001	
6238866	Detector for nucleic acid typing and methods of using the same	RDEC Edgewood Chemical Biological Center	5/29/2001	
D443062	Biomedical data recorder chassis	Army Medical Research and Materiel Command	5/29/2001	
6239450	"Negative differential resistance device based on tunneling through microclusters, and method therefor"	Army CERDEC - Fort Monmouth	5/29/2001	
6237795	Modular transport container for satellites	Space Vehicles Directorate	5/29/2001	
6239873	Apparatus for simultaneous measurement of two polarization states of scattered light	Army Research Laboratory - Aberdeen	5/29/2001	
6240471	Data transfer interfacing	Information Directorate	5/29/2001	
6238501	"TNAZ compositions and articles, processes of preparation, TNAZ solutions and uses thereof"	"Army Armament Research, Development & Engineering Center"	5/29/2001	
6235541	Patterning antibodies on a surface	NAVSEA Carderock	5/22/2001	
6233740	Aircrew integrated recovery survival vest	NAVAIR Patuxent River	5/22/2001	
6232909	Communication network optimization tool	Army Research Laboratory - Aberdeen	5/15/2001	
6230539	Ultra precision net forming process employing controlled plastic deformation of metals at elevated temperatures	"Army Aviation & Missile Research, Development & Engineering Center"	5/15/2001	
6232931	Opto-electronically controlled frequency selective surface	"SPAWAR Systems Center, Pacific"	5/15/2001	
6230628	Infrared illumination compositions and articles containing the same	"Army Armament Research, Development & Engineering Center"	5/15/2001	
6233500	Optimization and control of microstructure development during hot metal working	Materials & Manufacturing Directorate	5/15/2001	
6233376	Embedded fiber optic circuit boards and integrated circuits	NAVSEA Panama City	5/15/2001	
6231710	Method of making composite chambercore sandwich-type structure with inherent acoustic attenuation	Space Vehicles Directorate	5/15/2001	
6232479	Substituted cyclotetraphophazene compound and method of producing the same	"Army Armament Research, Development & Engineering Center"	5/15/2001	
6230491	Gas-generating liquid compositions (persol 1)	NAVSEA Indian Head	5/15/2001	
6233373	Optical spectrometer with improved geometry and data processing for monitoring fiber optic bragg gratings	Naval Research Laboratory	5/15/2001	
6230046	System and method for enhanced visualization of subcutaneous structures	Materials & Manufacturing Directorate	5/8/2001	
6227118	Vaporizer and aerosol generator	NAVSEA Dahlgren	5/8/2001	
6229649	Pseudo deconvolution method of recovering a distorted optical image	Air Force TechMatch Patent Lab	5/8/2001	
6228527	Magnesium solution phase catholyte seawater electrochemical system	NAVSEA Newport	5/8/2001	
6227139	Control tab assisted lift reducing system for underwater hydrofoil surface	NAVSEA Carderock	5/8/2001	
6229136	Rotary lens positioning mechanism with lens position feedback	"Army Aviation & Missile Research, Development & Engineering Center"	5/8/2001	
6227095	Insensitive munition booster seal	NAVSEA Panama City	5/8/2001	
6228657	Environmental material ticket reader and airborne hazard detection system	Army TechMatch Patent Lab	5/8/2001	
6227045	Groundwater flow measuring system	Army TechMatch Patent Lab	5/8/2001	
6228997	Transesterification of insoluble polysaccharides	Natick Soldier Systems Center	5/8/2001	
6229847	Signal quality measurement device	"SPAWAR Systems Center, Pacific"	5/8/2001	
6229762	Acoustic sensor for a point in space	NAVSEA Carderock	5/8/2001	
6227288	Multifunctional capillary system for loop heat pipe statement of government interest	Space Vehicles Directorate	5/8/2001	
6226321	Multichannel parametric adaptive matched filter receiver	Information Directorate	5/1/2001	
6224898	Antimicrobial dendrimer nanocomposites and a method of treating wounds	Army TechMatch Patent Lab	5/1/2001	
6225955	"Dual-mode, common-aperture antenna system"	Army CERDEC - Fort Monmouth	5/1/2001	
6223659	Line storage device for preventing line entanglement	NAVSEA Panama City	5/1/2001	
6225785	Electrical safety test apparatus and test method for rechargeable lithium batteries	Army TechMatch Patent Lab	5/1/2001	
6225565	Flexible cable providing EMI shielding	NAVSEA Newport	5/1/2001	
6226044	Field synchronization system and technique	Night Vision & Electronic Sensors Directorate	5/1/2001	
6225247	"Polymer precursor composition, crosslinked polymers, thermosets and ceramics made with silyl and siloxyl substituted carboranes with unsaturated organic end groups"	Naval Research Laboratory	5/1/2001	
6220211	Cam advancing and retarding mechanism	Army TechMatch Patent Lab	4/24/2001	
6221673	"Materials, method and apparatus for detection and monitoring of chemical species"	Naval Research Laboratory	4/24/2001	
6222068	Nitrocubanes	"Army Armament Research, Development & Engineering Center"	4/24/2001	
6222261	Barrier layers for thin film electronic materials	Army Research Laboratory - Aberdeen	4/24/2001	
6220548	Deployed equipment modules for satellite architecture improvement	Naval Research Laboratory	4/24/2001	
6220168	Underwater intelligence gathering weapon system	NAVSEA Panama City	4/24/2001	
6218344	Antiwear additives for spacecraft lubricants	Materials & Manufacturing Directorate	4/17/2001	
6218043	Dual voltage multiple configuration battery and adapter	Army TechMatch Patent Lab	4/17/2001	
6218985	Array synthesis method	"SPAWAR Systems Center, Pacific"	4/17/2001	
6218205	Post-process depositing shielding for microelectromechanical systems	Space Vehicles Directorate	4/17/2001	
6217911	"sustained release non-steroidal, anti-inflammatory and lidocaine PLGA microspheres"	Army Medical Research and Materiel Command	4/17/2001	
6218965	Moving map composer (MMC)	Naval Research Laboratory	4/17/2001	
6219138	Particle sizing technique	NAVSEA Dahlgren	4/17/2001	
6218554	Substituted cyclotetraphosphazene compound and method of producing the same	"Army Armament Research, Development & Engineering Center"	4/17/2001	
6217027	Computerized portable pneumatic target apparatus	Army Research Laboratory - Aberdeen	4/17/2001	
6218577	Enegetic hydrazinium salts	Air Force TechMatch Patent Lab	4/17/2001	
6215310	Glow plug circuit tester	Army TechMatch Patent Lab	4/10/2001	
6215327	Molecular field programmable gate array	Space Vehicles Directorate	4/10/2001	
6212989	"High pressure, high temperature window assembly and method of making the same"	Army Research Laboratory - Aberdeen	4/10/2001	
6215303	Wire detection system	Air Force TechMatch Patent Lab	4/10/2001	
6213024	Projectile with an air pressure wave generator and chemical agent/marker	Army Research Laboratory - Aberdeen	4/10/2001	
6213021	Electromagnetic sea mine detonation system	NAVSEA Carderock	4/10/2001	
6211560	Voltage tunable schottky diode photoemissive infrared detector	Air Force TechMatch Patent Lab	4/3/2001	
6210936	Enzyme-catalyzed modifications of macromolecules in organic solvents	Natick Soldier Systems Center	4/3/2001	
6211732	Comb linear amplifier combiner (CLAC)	"SPAWAR Systems Center, Pacific"	4/3/2001	
6211526	Marking of materials using luminescent and optically stimulable glasses	Naval Research Laboratory	4/3/2001	
6211066	Electronic devices with barium barrier film and process for making same	NAVSEA Dahlgren	4/3/2001	
6210128	Fluidic drive for miniature acoustic fluidic pumps and mixers	Naval Research Laboratory	4/3/2001	
6210470	Ultrasonic gas separator	NAVSEA Newport	4/3/2001	
6211601	Multi-tuned acoustic cylindrical projector	NAVSEA Newport	4/3/2001	
6210504	Tertiary amine azides in liquid or gel fuels in gas generator systems	"Army Aviation & Missile Research, Development & Engineering Center"	4/3/2001	
6211230	Method of reducing brain damage resulting from seizures	Army Medical Research and Materiel Command	4/3/2001	
6206945	Method of producing artificial guano	ERDC Geotechnical and Structures Laboratory	3/27/2001	
6207065	Integrated liquid discharge system	NAVSEA Carderock	3/27/2001	
6208268	"Vehicle presence, speed and length detecting system and roadway installed detector therefor"	NAVSEA Carderock	3/27/2001	
6207033	Process and apparatus for regeneration of chromium plating bath	"Army Armament Research, Development & Engineering Center"	3/27/2001	
6207892	System and method for sealing high density electronic circuits	Army Research Laboratory - Aberdeen	3/27/2001	
6208892	Time domain ultra-wide band rf-enhanced chemotherapy for cancer treatment	Air Force TechMatch Patent Lab	3/27/2001	
6208752	System for eliminating or reducing exemplar effects in multispectral or hyperspectral sensors	Naval Research Laboratory	3/27/2001	
6205903	Reliable and effective line charge system	NAVSEA Panama City	3/27/2001	
6205200	Mobile X-ray unit	Naval Research Laboratory	3/20/2001	
6205200	Mobile X-ray unit	Naval Research Laboratory	3/20/2001	
6202531	Land mine killer	Night Vision & Electronic Sensors Directorate	3/20/2001	
6202559	Air-safed mechanical water actuator	NAVSEA Dahlgren	3/20/2001	
6204160	Method for making electrical contacts and junctions in silicon carbide	"SPAWAR Systems Center, Pacific"	3/20/2001	
D439388	Medical monitor chassis	Army Medical Research and Materiel Command	3/20/2001	
6204797	Waveform diversity for spatial-temporal denial of radar and communication system	Information Directorate	3/20/2001	
6205499	System for compressing video data using bi-orthogonal wavelet coding having a DSP for adjusting compression ratios to maintain a constant data flow rate of the compressed data	NAVAIR Point Mugu	3/20/2001	
6201453	H-plane hermetic sealed waveguide probe	"Army Aviation & Missile Research, Development & Engineering Center"	3/13/2001	
6201763	Depthimeter	Naval Research Laboratory	3/13/2001	
6201342	Automatically sharp field emission cathodes	Naval Research Laboratory	3/13/2001	
6199469	Counterbalance weight device	Night Vision & Electronic Sensors Directorate	3/13/2001	
6200959	Genetic induction of anti-viral immune response and genetic vaccine for filovirus	Army Medical Research and Materiel Command	3/13/2001	
6200356	Lithium ion secondary electrochemical cell and a method of preventing the electrochemical dissolution of a copper current collector therein	Army Research Laboratory - Aberdeen	3/13/2001	
6196107	Explosive containment device	NAVSEA Carderock	3/6/2001	
6198438	Reconfigurable microstrip antenna array geometry which utilizes micro-electro-mechanical system (MEMS) switches	Air Force TechMatch Patent Lab	3/6/2001	
6198097	Photocharge microscope	"Army Armament Research, Development & Engineering Center"	3/6/2001	
6198404	Small weapon decoy for military use	Army Research Laboratory - Aberdeen	3/6/2001	
H1946	Tertiary polyamines as additives to lithium-ion cell electrolytes to provide lithium-ion cell having improved properties	Army Research Laboratory - Aberdeen	3/6/2001	
6198425	Pulse doppler target detecting device	"SPAWAR Systems Center, Pacific"	3/6/2001	
6194695	Photoreceptor array for linear optical flow measurement	Naval Research Laboratory	2/27/2001	
6194290	Methods for making semiconductor devices by low temperature direct bonding	Naval Research Laboratory	2/27/2001	
6195187	Wavelength-division multiplexed M.times.N.times.M cross-connect switch using active microring resonators	Air Force TechMatch Patent Lab	2/27/2001	
6192541	Dynamic ramp interface system	NAVSEA Carderock	2/27/2001	
6195442	Passive vibroacoustic attenuator for structural acoustic control	Space Vehicles Directorate	2/27/2001	
6194731	Bio-particle fluorescence detector	Air Force TechMatch Patent Lab	2/27/2001	
6194790	Solar sail for power generation	Space Vehicles Directorate	2/27/2001	
6194066	Microscopic tube devices and method of manufacture	Air Force TechMatch Patent Lab	2/27/2001	
6194721	Uncooled far infrared thermal imaging system	Army TechMatch Patent Lab	2/27/2001	
6195057	Submarine antenna assembly for deployment through ice layer	NAVSEA Newport	2/27/2001	
6195483	Fiber Bragg gratings in chalcogenide or chalcohalide based infrared optical fibers	Naval Research Laboratory	2/27/2001	
6189651	Harness for human wear	Natick Soldier Systems Center	2/20/2001	
6190919	System for controlling deglycerolization of red blood cells	"SPAWAR Systems Center, Pacific"	2/20/2001	
6190933	Ultra-high resolution liquid crystal display on silicon-on-sapphire	"SPAWAR Systems Center, Pacific"	2/20/2001	
6191744	Probe movement system for spherical near-field antenna testing	NAVSEA Crane	2/20/2001	
6190859	Method and kit for detection of dengue virus	Army Medical Research and Materiel Command	2/20/2001	
6192128	Current-sensitive telephone-line disconnect system	Naval Research Laboratory	2/20/2001	
6191696	Alarm system for hand-held chemical monitor	RDEC Edgewood Chemical Biological Center	2/20/2001	
6192168	Reflectively coated optical waveguide and fluidics cell integration	Naval Research Laboratory	2/20/2001	
6189475	Propelled cable fairing	NAVSEA Carderock	2/20/2001	
6188134	Electronic devices with rubidium barrier film and process for making same	NAVSEA Dahlgren	2/13/2001	
6185861	Lethal mosquito breeding container	Army Medical Research and Materiel Command	2/13/2001	
6188808	Microwave system	Army CERDEC - Fort Monmouth	2/13/2001	
6188644	Photon transducer	NAVSEA Newport	2/13/2001	
6186070	Combined effects warheads	"Army Armament Research, Development & Engineering Center"	2/13/2001	
6187703	High temperature ceramics derived from linear carborane-(siloxane or silane)-acetylene copolymers	Naval Research Laboratory	2/13/2001	
6182507	Mechanical water sensor	NAVSEA Dahlgren	2/6/2001	
6182495	Test machine for simulation of shock wave induced motion	NAVSEA Carderock	2/6/2001	
6183206	Magnetohydrodynamically-driven compressor	Air Force TechMatch Patent Lab	2/6/2001	
6182496	Copper crusher gauge holder	NAVSEA Dahlgren	2/6/2001	
6183715	Low polarizability of Sb5+ for use in fabrication of low dielectric constant materials	Army Research Laboratory - Aberdeen	2/6/2001	
6181303	Flat panel three-dimensional display unit	"Army Aviation & Missile Research, Development & Engineering Center"	1/30/2001	
6180418	Force discrimination assay	Naval Research Laboratory	1/30/2001	
6181261	Airfield hazard automated detection system	Night Vision & Electronic Sensors Directorate	1/30/2001	
6178889	Low impulse telescoping cartridge	"Army Armament Research, Development & Engineering Center"	1/30/2001	
6178813	Vibration distortion removal for scanning probe microscopes	Army Research Laboratory - Aberdeen	1/30/2001	
6179899	Preparation of fine aluminum powders by solution methods	NAVAIR China Lake	1/30/2001	
6178865	Thermally massive radar decoy	Army TechMatch Patent Lab	1/30/2001	
6179380	Anti blast seat assembly with knee protection mechanism	Army TechMatch Patent Lab	1/30/2001	
6179944	Process for preparing composite warhead casings and product	NAVSEA Dahlgren	1/30/2001	
6180799	Sulfalation of tetraol	Air Force TechMatch Patent Lab	1/30/2001	
6181644	Diver mask underwater imaging system	NAVSEA Panama City	1/30/2001	
6178344	Reconfigurable array for positioning medical sensors	NAVSEA Newport	1/23/2001	
6177909	Spatially light modulated reconfigurable photoconductive antenna	Air Force TechMatch Patent Lab	1/23/2001	
6178276	End-pumped waveguide optical splitter-amplifiers based on self-imaging	Army Research Laboratory - Aberdeen	1/23/2001	
6177057	Process for preparing bulk cubic gallium nitride	Naval Research Laboratory	1/23/2001	
6176943	Processing treatment of amorphous magnetostrictive wires	NAVSEA Carderock	1/23/2001	
6176239	Advanced chemical-biological mask	RDEC Edgewood Chemical Biological Center	1/23/2001	
6177151	Matrix assisted pulsed laser evaporation direct write	Naval Research Laboratory	1/23/2001	
6177266	Rapid identification of bacteria by mass spectrometry	RDEC Edgewood Chemical Biological Center	1/23/2001	
6175678	Infrared fiber imager	Naval Research Laboratory	1/16/2001	
6175332	Diffractive beam forming and scanning antenna array	Information Directorate	1/16/2001	
6175337	"High-gain, dielectric loaded, slotted waveguide antenna"	Army Research Laboratory - Aberdeen	1/16/2001	
6174688	Multiassay method for determining the concentrations of antigens and interferants	NAVSEA Carderock	1/16/2001	
6174391	Magnesium-fueled pyrotechnic compositions and processes based on elvax-cyclohexane coating technology	"Army Armament Research, Development & Engineering Center"	1/16/2001	
6175697	Method and apparatus for image development in an electrographic printer or copier	"SPAWAR Systems Center, Pacific"	1/16/2001	
6175759	Contrast agent for multispectral infrared transillumination and fluorescence of turbid media	Air Force TechMatch Patent Lab	1/16/2001	
6174732	Analytical methodology for qualitative and quantitative determination of chemical agent vapor	RDEC Edgewood Chemical Biological Center	1/16/2001	
6170234	Solid particle aerosol belt and dissemination method	RDEC Edgewood Chemical Biological Center	1/9/2001	
6171693	Structures with improved magnetic characteristics for giant magneto-resistance applications	Naval Research Laboratory	1/9/2001	
6172892	Method for using battery charger adapter for military vehicles	Army TechMatch Patent Lab	1/9/2001	
6172486	Battery life extender with engine heat	Army Research Laboratory - Aberdeen	1/9/2001	
6172642	"Radar system having a ferroelectric phased array antenna operating with accurate, automatic environment-calibrated, electronic beam steering"	Army Research Laboratory - Aberdeen	1/9/2001	
6171159	Steering and backing systems for waterjet craft with underwater discharge	NAVSEA Carderock	1/9/2001	
6171853	Method and apparatus for treating volatile organic compound (VOC) and odor in air emissions	ERDC Cold Regions Research and Engineering Lab	1/9/2001	
6172510	System for detection of flaws by use of microwave radiation	NAVSEA Carderock	1/9/2001	
6170422	Attachment of equipment to composite sandwich core structures	NAVSEA Carderock	1/9/2001	
6172509	Detecting polyphase machine faults via current deviation	AFRL - Munitions Directorate	1/9/2001	
6167811	Reverse initiation device	"Army Armament Research, Development & Engineering Center"	1/2/2001	
6167794	Gun barrel vibration absorber	"Army Armament Research, Development & Engineering Center"	1/2/2001	
6168111	Fold-out fin	Army Research Laboratory - Aberdeen	1/2/2001	
6167809	"Ultra-miniature, monolithic, mechanical safety-and-arming (S&A) device for projected munitions"	Army Research Laboratory - Aberdeen	1/2/2001	
H1933	Magnetron sputter-pulsed laser deposition system and method	Air Force TechMatch Patent Lab	1/2/2001	
6166459	Capacitor mounting arrangement for marx generators	Naval Research Laboratory	12/26/2000	
6166459	Capacitor mounting arrangement for marx generators	Naval Research Laboratory	12/26/2000	
6167156	Compression of hyperdata with ORASIS multisegment pattern sets (CHOMPS)	Naval Research Laboratory	12/26/2000	
6164736	Tracked wheel assembly	Army TechMatch Patent Lab	12/26/2000	
6166692	Planar single feed circularly polarized microstrip antenna with enhanced bandwidth	Army CERDEC - Fort Monmouth	12/26/2000	
6164229	Air bearing pontoon system for shipping containers	NAVSEA Panama City	12/26/2000	
6167330	Dynamic power management of systems	Information Directorate	12/26/2000	
6164179	Submarine deployable vertical launch spar buoy	NAVSEA Newport	12/26/2000	
6166803	Imaging simplified laser pointing (ISLAPS)--A system modification/improvement	Army TechMatch Patent Lab	12/26/2000	
6165307	Multi-component 3-dimensional energetics method and construction	Army TechMatch Patent Lab	12/26/2000	
6166680	Range dependent time delay target detecting device	"SPAWAR Systems Center, Pacific"	12/26/2000	
6166678	Fourier-transform-based adaptive radio interference mitigation	Air Force TechMatch Patent Lab	12/26/2000	
6165801	Method for making a monolithic integrated high-T.sub.c superconductor-semiconductor structure	"SPAWAR Systems Center, Pacific"	12/26/2000	
6164258	Diesel engine starting controller and method	Army TechMatch Patent Lab	12/26/2000	
6165920	"Water-resistant and stain-resistant, antimicrobial treated textile fabric"	NAVSEA Newport	12/26/2000	
6164411	Suppression of acoustic cavity resonance induced by fluid flow	NAVSEA Carderock	12/26/2000	
6166693	Tapered leaky wave ultrawide band microstrip antenna	Army CERDEC - Fort Monmouth	12/26/2000	
6160274	Reduced 1/f low frequency noise high electron mobility transistor	Army CERDEC - Fort Monmouth	12/12/2000	
6160524	Apparatus and method for reducing the temperature sensitivity of ferroelectric microwave devices	Army CERDEC - Fort Monmouth	12/12/2000	
6160113	Process and compositions for nitration of n-nitric acid at elevated temperatures to form HNIW and recovery of gamma HNIW with high yields and purities and crystallizations to recover epsilon HNIW crystals	Army TechMatch Patent Lab	12/12/2000	
6159060	Protective shrouding with debris diverting inflow vanes for pump-jet propulsion unit	NAVSEA Carderock	12/12/2000	
6159553	Thermal barrier coating for silicon nitride	Air Force TechMatch Patent Lab	12/12/2000	
6159884	Method of annealing silicon carbide for activation of ion-implanted dopants	Army CERDEC - Fort Monmouth	12/12/2000	
6160255	Laser-based photoacoustic sensor and method for trace detection and differentiantion of atmospheric NO and NO.sub.2	Army Research Laboratory - Aberdeen	12/12/2000	
6160257	Hybridized biological microbolometer	Army Research Laboratory - Aberdeen	12/12/2000	
6159958	Treatment or prophylaxis of retinal pathology and spinal cord injury	Army Medical Research and Materiel Command	12/12/2000	
